Authors,Author full names,Author(s) ID,Language,AI,Title,Abstract,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,References,Publisher,ISSN,ISBN,CODEN,PubMed ID,Document Type,Source,EID
Jianwei Zhang|Jutao Hu|Pengcheng Li|Gang Huang|Huahai Shen|Haiyan Xiao|Xiaosong Zhou|Xiaotao Zu,,,,FALSE,Preliminary assessment of high-entropy alloys for tritium storage,"Tritium is the key fuel in nuclear fusion reactors. With the development of the international thermonuclear experimental reactor (ITER) project, the annual requirement of tritium has increased up to several kilograms. The candidate materials for tritium storage have many shortcomings such as insufficient kinetic performance, disproportionation effect, poor oxidation resistance, and poor helium (He) retaining ability. Therefore, it is urgent to develop a novel material system which satisfies all the requirements of tritium storage materials. High-entropy alloys (HEAs) have a unique structure of severe lattice distortion and have attracted much attention as hydrogen storage materials due to their high storing capacity and great hydrogenation performance. The distorted lattice helps to provide more interstitial sites for accommodating H atoms and enhance the He retaining ability by slowing down the He diffusion in the HEA lattice. In this work, the current research status of tritium storage materials, including the background and the basic criterion of tritium storage materials, as well as the disadvantages of the current materials, has been reviewed. Moreover, the theoretical and experimental studies of HEAs, focusing on the hydrogenation properties and the defect evolution in the distorted lattice, have been summarized. The HEAs may have great potential as tritium storage materials due to their potential hydrogenation performance and He retaining ability. Finally, the existing challenges and future development directions are also proposed.",2021,Tungsten,,,,,,11,https://doi.org/10.1007/s42864-021-00082-w,,China Academy of Engineering Physics|University of Electronic Science and Technology of China|University of Electronic Science and Technology of China|China Academy of Engineering Physics|University of Electronic Science and Technology of China|China Academy of Engineering Physics|China Academy of Engineering Physics|University of Electronic Science and Technology of China|China Academy of Engineering Physics|University of Electronic Science and Technology of China,,,,,2661-8028,,,,article,,
Zhihai Cai|Yu Guo|Jian Liu|Jun Liu|Jie Guo|Xian Du|Shaofu Huang,,,,FALSE,Progress in Light-weight High Entropy Alloys,"High entropy alloys (HEAs) possess good mechanical properties and a wide range of industrial applications. In this paper, phase formation prediction theory, microstructure, properties and preparation methods of light-weight HEAs (LWHEAs) were reviewed. The problems and challenges faced by LWHEAs development were analyzed. The results showed that many aspects are still weak and require investigation for future advanced alloys, such as clarification of the role of entropy in phase formation and properties of HEAs, improved definition and different generations division of HEAs, close-packed hexagonal (HCP) phase structure prediction and corresponding alloy design and fabrication. Finally, some suggestions were presented in this paper including in-depth research on formation mechanism of multi-component alloy phase and strengthening of large-scale HEA preparation methods via technology compounding and 3D printing technology. Also, there is a need for more research on the in-situ preparation of HEA coatings and films, as well as developing LWHEAs with superior strength and elevated temperature resistance or ultra-low temperature resistance to meet the requirements of future engineering applications.",2021,Journal of Wuhan University of Technology-Mater Sci Ed,,,,,,11,https://doi.org/10.1007/s11595-021-2467-x,,|Anhui University of Science and Technology|||||Anhui University of Science and Technology,,,,,1000-2413,,,,article,,
Xingchen Lin|Pengfei Wang|Hongbo Zhu|Ziqi Song|Yawei Zhang|Yongqiang Ning,,,,FALSE,A novel processing method based on the 3-spot diode laser source for the laser cladding of stainless-steel ball valves,"In this paper, aiming to solve the problem of cracks in the laser cladding for stainless-steel ball valves, a novel method for defect-free processing is introduced. To realize this method, a 3-spot high-power diode laser source is developed. These three spots are respectively used for dynamic local preheating, laser cladding processing and dynamic local tempering. Using this high-power diode laser, a cladding processing of the stainless-steel ball valve with Ni60 + WC powder is successfully completed. Compared with the traditional processing approach, the cladded sample is free from any defects such as cracks and pores, which demonstrates the processing effect of this approach. This work provides a new method for the laser cladding of stainless-steel ball valves.",2021,Optics & Laser Technology,,,,,,10,https://doi.org/10.1016/j.optlastec.2021.107142,,"Harbin Engineering University|Changchun Institute of Optics, Fine Mechanics and Physics|Chinese Academy of Sciences|Harbin Engineering University|Chinese Academy of Sciences|Changchun Institute of Optics, Fine Mechanics and Physics|Aerospace Information Research Institute|Chinese Academy of Sciences|Changchun Institute of Optics, Fine Mechanics and Physics|Chinese Academy of Sciences|Changchun Institute of Optics, Fine Mechanics and Physics|Chinese Academy of Sciences",,,,,0030-3992,,,,article,,
Jia Zhixin|Jiqiang Li|Lijun Liu|Yaowei Liu|Yiqiang Wang|Honglin Li,,,,FALSE,Influence and application of laser parameters on unit of H13 steel by laser remelting process,"Die service life improvement is an important problem in high-pressure die casting industry. Former studies show that biomimetic laser remelting process provides desirable microstructural and microhardness changes, which induces the intensified particles for improving the service life. The present study concerns laser surface remelting of H13 tool steel in a quenched and tempered state using an Nd:YAG laser. This purpose is to obtain data for establishing database of laser parameters for H13 material, which is helpful for applying laser remelting on die casting dies. The influence of laser parameters on the characteristics of the unit has been investigated. The interrelationships among the laser processing parameters, the penetration depth, the width, and the area of the unit were discussed by single-factor experiments. A set of die casting die was selected and processed by laser remelting, and the die service life has been increased from 13,000 shots to 27,000 shots under practical die casting conditions.",2015,The International Journal of Advanced Manufacturing Technology,,,,,,9,https://doi.org/10.1007/s00170-015-6812-0,,Zhejiang University|Ningbo University of Technology|Ningbo University of Technology|Zhejiang University|Ningbo University of Technology|Zhejiang University|Ningbo University of Technology|Zhejiang University|Zhejiang University|Ningbo University of Technology|Ningbo University,,,,,0268-3768,,,,article,,
Han Wang|Yan Wu|Hao Wang|Yu Sun|G Wang|Y Z Sun|G Wang,,,,FALSE,Design method and verification for long life hot forging die,"During the forging process, hot forging dies can easily sustain damage, including thermal softening, crack extension, wear and so on. The existing homogeneous hot forging die steel cannot meet the service performance requirements. However, the strengthening technology based on functionally gradient material (FGM) technology and surface cladding together can relieve the thermal stress. Based on the zoning of the temperature field distribution during continuous working, the structural design method and preparation process for the long life hot forging die are proposed in this paper; meanwhile, multilayer metal coating based on FGM was carried out and the temperature field, the stress field distribution for the homogeneous materials and the multilayer metal material hot forging die were analysed and compared. The results prove that using long service life hot forging die technology combined with FGM and surface cladding can relieve the overall stress value.",2011,Materials Research Innovations,,,,,,9,https://doi.org/10.1179/143307511x12858957674995,,Wuhan University of Technology|Wuhan University of Technology|Wuhan University of Technology|Wuhan University of Technology|Wuhan University of Technology|Wuhan University of Technology|Wuhan University of Technology,,,,,1432-8917,,,,article,,
Hongwei Song|Shaoxia Li|Ling Zhang|Gang Yu|Liang Zhou|Jian-Song Tan,,,,FALSE,Numerical simulation of thermal loading produced by shaped high power laser onto engine parts,"Recently a new method for simulating the thermal loading on pistons of diesel engines was reported. The spatially shaped high power laser is employed as the heat source, and some preliminary experimental and numerical work was carried out. In this paper, a further effort was made to extend this simulation method to some other important engine parts such as cylinder heads. The incident Gaussian beam was transformed into concentric multi-circular patterns of specific intensity distributions, with the aid of diffractive optical elements (DOEs). By incorporating the appropriate repetitive laser pulses, the designed transient temperature fields and thermal loadings in the engine parts could be simulated. Thermal–structural numerical models for pistons and cylinder heads were built to predict the transient temperature and thermal stress. The models were also employed to find the optimal intensity distributions of the transformed laser beam that could produce the target transient temperature fields. Comparison of experimental and numerical results demonstrated that this systematic approach is effective in simulating the thermal loading on the engine parts.",2009,Applied Thermal Engineering,,,,,,9,https://doi.org/10.1016/j.applthermaleng.2009.10.018,,Chinese Academy of Sciences|Chinese Academy of Sciences|Chinese Academy of Sciences|Chinese Academy of Sciences|Chinese Academy of Sciences|Zhejiang University,,,,,1359-4311,,,,article,,
Monika VilÃ©movÃ¡|Hynek Hadraba|ZdenÄ›k Weiss|FrantiÅ¡ek LukÃ¡Ä|Å tefan CsÃ¡ki|ZdenÄ›k Chlup|JiÅ™Ã­ MatÄ›jÃ­Äek|TomÃ¡Å¡ ChrÃ¡ska,,,,FALSE,"Phase, Composition and Structure Changes of CoCrNi-Based Concentrated Alloys Resulting from High Temperature Oxidation","In this work, CoCrNi, FeCoCrNi and CoCrFeMnNi concentrated alloys with a Y-Ti oxide particle dispersion were prepared by mechanical alloying and Spark Plasma Sintering. The alloy consists of an FCC Ni-based matrix with a Y-Ti oxide dispersion and additional phases of Cr23C6 and Cr2O3. The effect of Fe, Mn, and Y-Ti oxide particles on the formation of oxide scales and the composition of the adjacent CoCrNi and FeCoCrNi alloys was studied. It was found that alloys without Mn in their composition form a protective Cr2O3 scale. The Cr23C6 particles provide an alternative mechanism for balancing the chromium loss during the oxidation. Y and Ti from the oxide particles participate in the formation of the protective oxide scales. Fe promotes Y and especially Ti diffusion through the Cr2O3 scale, resulting in the formation of Ti-depleted regions in the alloy. The findings will serve for the further development of these new materials.",2020,Materials,,,,,,9,https://doi.org/10.3390/ma13102276,,"Czech Academy of Sciences, Institute of Plasma Physics|Czech Academy of Sciences, Institute of Physics of Materials|Czech Academy of Sciences, Institute of Physics|Czech Academy of Sciences|Czech Academy of Sciences, Institute of Plasma Physics|Czech Academy of Sciences, Institute of Plasma Physics|Czech Academy of Sciences, Institute of Physics of Materials|Czech Academy of Sciences, Institute of Plasma Physics|Czech Academy of Sciences, Institute of Plasma Physics",,,,,1996-1944,,,,article,,
Laura Elena Geambazu|Ionelia Voiculescu|Ciprian Alexandru Manea|Robert Viorel Bololoi,,,,FALSE,Economic Efficiency of High-Entropy Alloy Corrosion-Resistant Coatings Designed for Geothermal Turbine Blades: A Case Study,"The aim of this paper is to establish the cost-effectiveness of high-entropy alloy coatings, using the electrospark deposition technique, designed for a geothermal turbine bladeâ€™s leading edge. The deposition of materials with high resistance to corrosion and erosion aims to increase the bladeâ€™s service life, reduce maintenance costs and improve production efficiency. According to our previous research on the CoCrFeNiMox high-entropy alloy system, the results showed a high corrosion resistance when in bulk or as a coating, and when tested in geothermal steam and in a saline solution. Based on the results, the high-entropy alloy was subjected to further analyses. The paper focused on two aspects of the research. The first direction was to explore the possibility of obtaining an effective, protective high-entropy alloy layer by the electrospark deposition method. To this end, various tests were performed to demonstrate that the new material possesses superior properties and is suitable for the geothermal environmentâ€™s demands. The second direction was to calculate the economic efficiency of coating the areas intensely subjected to wear, based on reports published by the geothermal power plantsâ€™ representatives. The final costs were compared with the commercially available equipment parts, and also with the general maintenance costs. From the calculation of the cost efficiency for the CoCrFeNiMo0.85 high-entropy alloy, it resulted that the deposition method and the properties of the material are suitable for the operating conditions, representing an efficient and easy to apply solution to reduce maintenance costs in the geothermal industry.",2022,Applied Sciences,,,,,,9,https://doi.org/10.3390/app12147196,,Universitatea NaÈ›ionalÄƒ de È˜tiinÈ›Äƒ È™i Tehnologie Politehnica BucureÈ™ti|Institutul National de Cercetare-Dezvoltare pentru Inginerie Electrica ICPE-CA|Universitatea NaÈ›ionalÄƒ de È˜tiinÈ›Äƒ È™i Tehnologie Politehnica BucureÈ™ti|Universitatea NaÈ›ionalÄƒ de È˜tiinÈ›Äƒ È™i Tehnologie Politehnica BucureÈ™ti|Institutul National de Cercetare-Dezvoltare pentru Inginerie Electrica ICPE-CA|Universitatea NaÈ›ionalÄƒ de È˜tiinÈ›Äƒ È™i Tehnologie Politehnica BucureÈ™ti,,,,,2076-3417,,,,article,,
Md. Abdul Maleque|S.A. Adeleke,,,,FALSE,TIG Melted Surface Modified Titanium Alloy for Automotive Cylinder Liner Application,"Tungsten inert gas (TIG) surface modification with Fe-based alloy can give protection against wear and corrosion of metallic component material. In this study, an attempt has been made to explore deposition of Fe-C-Si preplaced powders on commercial purity titanium (CP-Ti) by TIG torch melting process to improve resistance of substrate to wear. Three different powder blends with nominal composition of 97Fe2C1Si, 94Fe 4C2Si and 91Fe6C3Si were separately melted on CP-Ti using a conventional TIG welding torch produced at 100 A and energy input 1350 J/mm. Analysis of the results showed that TIG torch produced melt pools geometry with good metallurgical bonding with the substrate. The melt microstructure consisted of different TiC precipitates. Pores were conspicuously seen on the melt microstructure after surface modification with highest carbon content (94Fe 4C2Si). Both microhardness and wear property showed a significant improvement particularly after TIG coating with 94Fe4C2Si. Thus, it appears that an optimized composition of Fe-C-Si preplaced powder with 94Fe4C2Si under TIG melting was the best composition to control wear resistance and for the application of cylindrical liner.",2015,International Journal of Automotive Engineering and Technologies,,,,,,8,https://doi.org/10.18245/ijaet.57450,,International Islamic University Malaysia|International Islamic University Malaysia,,,,,2146-9067,,,,article,,
Maciej Kaplan|Gunnar K. PÃ¡lsson|Damian M. Holzapfel|Jochen M. Schneider|BjÃ¸rgvin HjÃ¶rvarsson,,,,FALSE,Phase formation and thermal stability of amorphous ZrNbCrMo thin films,"We demonstrate that the atomic size mismatch, Î´, can be used to predict the boundary between amorphous and crystalline phase formation ranges in ZrNbCrMo thin films. The concentrations of all alloying elements are varied systematically, which induces a change in Î´. The formation of an amorphous phase is observed by x-ray diffraction for Î´ â‰¥ 6.9%, whereas crystallization is detected for Î´ â‰¤ 6.9%. The crystallization temperature increases from 575 to 625 âˆ˜C by increasing Nb + Mo content from 10 to 34 at.%, and decreases to 475 âˆ˜C upon further additions of Nb + Mo. Calphad calculated liquidus temperatures, Tl, increases monotonously and Î´ decreases monotonously with Nb and Mo additions. Consequently, Î´ and Tl do not serve as predictors for thermal stability of ZrNbCrMo thin films.",2021,Journal of Non-Crystalline Solids X,,,,,,8,https://doi.org/10.1016/j.nocx.2021.100061,,Uppsala University|Uppsala University|RWTH Aachen University|RWTH Aachen University|Uppsala University,,,,,2590-1591,,,,article,,
Ershad Mortazavian|Zhiyong Wang|Hualiang Teng,,,,FALSE,Finite Element Investigation of Thermal-kinetic-mechanical Evolutions during Laser Powder Deposition as an Innovative Technique for Rail Repair,"Utilization of laser powder deposition (LPD) as an innovative repair tool for damaged steel components is increasingly growing in recent years. This paper investigates repairing a standard US light rail using LPD. No study has focused on repairing standard US rails thus far. Besides, this is the first time that a three-dimensional finite element model is developed where element-birth-and-kill technique is employed to study thermal-kinetic-mechanical evolutions during the LPD rail repair process. Exploration of hardness versus microstructure yielded a reverse correlation between hardness level and austenite volume fraction. The maximum hardness was found near rail-deposition interface with the minimum austenite concentration, while the topmost deposition layer with the highest austenite concentration showed the minimum hardness. Longitudinal residual stresses at the rail-deposition interface were significantly more than that of transversal and normal. Comparing the residual stress against deposition material yield strength showed a slight exceedance (~5%) of transversal stress from the maximum limit, no exceedance for normal stress, but an extreme exceedance of 50% for longitudinal stress. This fact suggested a high risk of cracking along longitudinal direction at the rail-deposition interface, while there existed only a minor risk of transversal cracking and almost no chance of layer delamination. The simulated results were compared against experimental results obtained via optical and scanning electron microscopy, hardness test, and X-ray diffraction stress measurement, where a maximum deviation of 10% proved the model accuracy. The validated model in this study would be a great backbone for future studies on different process parameters to increase hardness and reduce stress in an LPD repaired rail.",2021,The International Journal of Advanced Manufacturing Technology,,,,,,8,https://doi.org/10.1007/s00170-021-07873-y,,"University of Nevada, Las Vegas|University of Nevada, Las Vegas|University of Nevada, Las Vegas",,,,,0268-3768,,,,article,,
Ping Zhang|Zhenyong Lin|Shunxiang Wang|Xiujie Yue|Yeran Gao|Songting Zhang,,,,FALSE,Investigation on the micromachining mechanism of FeCoCrNiAl0.6 high-entropy alloy,"This paper aims to investigate the impact of various cutting parameters on the micro-cutting mechanism of high-entropy alloy FeCoCrNiAl0.6. It examines the cutting force, cutting temperature, and residual stress of FeCoCrNiAl0.6 high-entropy alloy micro-cutting using the finite element simulation method. The research findings reveal the following: as the cutting depth increases, the three-dimensional cutting force gradually rises, exhibiting a significant growth trend, and there is a positive correlation between them. Increasing the cutting speed results in small fluctuations in cutting force, which remains relatively stable. Moreover, the cutting force gradually increases with higher feed rates, demonstrating a positive correlation. The maximum temperatures of the tool surface and chip surface increase with higher cutting depth, and they are positively correlated. There is a positive correlation between cutting temperature and cutting speed. With increased cutting speed, the maximum temperature of the cutting surface steadily rises. Simultaneously, during cutting, the chip temperature increases at a faster rate compared to the tool temperature with increasing cutting speed. As the feed rate continuously increases, the maximum temperatures of the chip surface and tool surface show a steady growth trend, and there is a positive correlation between them. During the cutting process, the workpiece surface is predominantly characterized by residual compressive stress. Under different cutting depths, the absolute value of the maximum residual compressive stress on the workpiece surface decreases. Under the influence of cutting speed, when the cutting speed is below 110 mm/s, the residual compressive stress on the workpiece surface demonstrates an increasing trend. For cutting speeds between 110 and 170 mm/s, the workpiece surface initially exhibits a decreasing trend followed by an increasing trend. Increasing the feed rate leads to an increase in the absolute value of the maximum residual compressive stress on the workpiece surface.",2023,The International Journal of Advanced Manufacturing Technology,,,,,,8,https://doi.org/10.1007/s00170-023-11820-4,,Qingdao Huanghai University|Guangdong Ocean University|Guangdong Ocean University|Guangdong Ocean University|Qingdao University of Technology|Qingdao Huanghai University|Guangdong Ocean University|Guangdong Ocean University,,,,,0268-3768,,,,article,,
Abdul Hai Alami|Afra S. Alketbi|Meera Almheiri,,,,FALSE,Synthesis and Microstructural and Optical Characterization of Fe-Cu Metastable Alloys for Enhanced Solar Thermal Absorption,"Abstract This paper investigates the synthesis, microstructural characterization and optical testing of Fe-Cu metastable alloy system for selective solar absorption applications. The system was produced by mechanical alloying (MA) using high energy ball milling, while monitoring its crystallographic morphology via X-ray diffraction (XRD) from the initial as-is mixture up to the one produced after 8Â h milling time. The resulting homogeneous, quasicrystalline microstructure was examined by scanning electron microscopy (SEM) and energy dispersive X-ray spectroscopy (EDS) to verify the sought result of efficient inter-diffusion of Cu and Fe. Optical spectroscopy results exhibit enhanced absorption in the Vis-NIR wavelength range with increased milling time, while the trends of absorptivity curves had clear correlations with the microstructural evolution depicted in XRD results. High energy ball milling is proven to be an economical and effective method for producing homogeneous phases of originally immiscible materials, Cu-Fe in the current case, with enhanced selective-absorption characteristics.",2015,Energy Procedia,,,,,,7,https://doi.org/10.1016/j.egypro.2015.07.405,,University of Sharjah|University of Sharjah|University of Sharjah,,,,,1876-6102,,,,article,,
Timothy Stephenson|David Tricker|Andrew Tarrant|Robert G. Michel|Jason Clune,,,,FALSE,Physical and mechanical properties of LoVAR: a new lightweight particle-reinforced Fe-36Ni alloy,"
Fe-36Ni is an alloy of choice for low thermal expansion coefficient (CTE) for optical, instrument and electrical applications in particular where dimensional stability is critical. This paper outlines the development of a particle-reinforced Fe-36Ni alloy that offers reduced density and lower CTE compared to the matrix alloy. A summary of processing capability will be given relating the composition and microstructure to mechanical and physical properties.",2015,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",,,,,,7,https://doi.org/10.1117/12.2190214,,Goddard Space Flight Center|Materion (United Kingdom)|Materion (United Kingdom)|Beryllium (United States)|Beryllium (United States),,,,,0277-786X,,,,article,,
Hideki Hagino|Takuto Yamaguchi,,,,FALSE,Studies of Laser Surface Modification,"Laser surface modification is one of the methods of surface modification. The use of lasers for the surface modification has been studied since 1960s. Laser surface modification includes a lot of methods such as laser transformation hardening, laser alloying, laser cladding and so on. They have been done to increase surface hardness, to improve wear resistance and corrosion resistance. In this review, some of them are introduced.",2013,Journal of the Vacuum Society of Japan,,,,,,7,https://doi.org/10.3131/jvsj2.56.315,,Technology Research Institute of Osaka Prefecture|Technology Research Institute of Osaka Prefecture,,,,,1882-2398,,,,article,,
S. Romankov|Y.C. Park|Ð˜. Ð’. Ð©ÐµÑ‚Ð¸Ð½Ð¸Ð½,,,,FALSE,Structural transformations in (CoFeNi)/Ti nanocomposite systems during prolonged heating,"A complex CoFeNi/Ti nanocomposite system with an average grain size of about 8 nm was fabricated on a Ti sheet under ball collisions. Heating experiments were performed at 400, 500, and 600 °C with hold times of up to 100 h at each temperature. The as-fabricated (CoFeNi)/Ti nanocomposite system demonstrated high thermal stability upon heating to 400 and 500 °C. Growth of the CoFeNi phases was retarded by closely spaced Ti particles. After heating to 600 °C, the system exhibited a bimodal nanograin structure due to coursing of the body-centered cubic (bcc) CoFeNi grains, which occurred more rapidly than with the face-centered cubic (fcc) CoFeNi grains. Upon heating, the diffusion that occurred between the phases tended to equilibrate the composition. Pairwise atomic interactions between the Co, Fe, and Ni components arose as chemical interactions in the corresponding binary alloy. The diffusive flux of elements in the system was outlined as Co from the fcc phase diffused into the bcc phase, Ni from the bcc phase diffused into the fcc phase, and Fe from the fcc phase diffused into the bcc phase. The activation energy for the reaction was calculated using time dependence curves of saturation magnetization. The activation energy coincided very closely with the value for the grain boundary diffusion activation energy for the Co, Fe, and Ni binary systems.",2018,Journal of Alloys and Compounds,,,,,,7,https://doi.org/10.1016/j.jallcom.2018.02.150,,Jeonbuk National University|National NanoFab Center|National University of Science and Technology,,,,,0925-8388,,,,article,,
Viktor Popov|G.I. Kostyuk|Olecsandr Tymofyeyev|Kateryna Kostyk|Olena Naboka,,,,FALSE,Design of New Nanocoatings Based on Hard Alloy,"The paper investigates the possibility of creating high-entropy nitride, carbide, boride, sulfide, phosphide and oxide nanocoatings on hard alloy T12A based on hafnium, zirconium, molybdenum, tungsten, yttrium, and nickel. The study of obtaining coatings and nitrides, carbides, borides, sulfides, phosphides and oxides directly in the body of the material at ion energies in the range from 200 to 2 · 104 eV with charge numbers from 1 to 3. Characteristics such as the grain volume for all these ions and nitrogen ions and the depth of their occurrence are obtained, which allows us to estimate the layers of nanostructures from compounds and elements or submicrostructures that can be formed by these high-entropy coatings. It is shown that it is possible to avoid the production of intermetallic compounds due to the high mobility of nitrogen, carbon, boron, sulfur, phosphorus and oxygen ions. It is shown that to obtain effective high-entropy coatings, it is necessary to provide an appropriate space-time distribution law of the ion supply to the CT material by controlling the installation.",2020,Lecture notes in mechanical engineering,,,,,,7,https://doi.org/10.1007/978-3-030-50794-7_51,,"Kharkiv University of Air Force|Giprokoks (Ukraine)|National Aerospace University â€“ Kharkiv Aviation Institute||National Technical University ""Kharkiv Polytechnic Institute""|National Technical University ""Kharkiv Polytechnic Institute""",,,,,2195-4356,,,,book-chapter,,
Shiteng Zhao|Zezhou Li,,,,FALSE,High Entropy Alloys for Extreme Load-Bearing Applications,"High entropy alloys (HEAs) have emerged as a new class of materials that can exhibit superior mechanical properties to the conventional alloy systems. Therefore, they are promising candidates as the next generation structural materials. As the studies into the HEAs deepen, the original proposal of equal concentration of each element while remaining a single phased structure has been expanded and new opportunities start to emerge. Here we briefly discuss several future directions for HEAs which include fundamental questions such as chemical short-range order and synergistic strengthening mechanisms, as well as HEAâ€™s potential applications under extreme conditions such as high-temperature and cryogenic load-bearing, impact protection and kinetic penetrator.",2022,Materials Lab,,,,,,7,https://doi.org/10.54227/mlab.20220035,,Beihang University|Beijing Institute of Technology,,,,,2653-4878,,,,article,,
Keith E. Knipling|Joshua L. Tharpe|Peter K. Liaw,,,,FALSE,Nanoscale Phase Separation in Al<sub>0.5</sub>CoCrFeNi(Cu) High Entropy Alloys as Studied by Atom Probe Tomography,"Journal Article Nanoscale Phase Separation in Al0.5CoCrFeNi(Cu) High Entropy Alloys as Studied by Atom Probe Tomography Get access Keith E Knipling, Keith E Knipling U. S. Naval Research Laboratory, Multifunctional Materials Branch, Washington, DC Search for other works by this author on: Oxford Academic Google Scholar Joshua L Tharpe, Joshua L Tharpe The University of Tennessee, Department of Materials Science and Engineering, Knoxville, TN Search for other works by this author on: Oxford Academic Google Scholar Peter K Liaw Peter K Liaw The University of Tennessee, Department of Materials Science and Engineering, Knoxville, TN Search for other works by this author on: Oxford Academic Google Scholar Microscopy and Microanalysis, Volume 23, Issue S1, 1 July 2017, Pages 726â€“727, https://doi.org/10.1017/S1431927617004299 Published: 04 August 2017",2017,Microscopy and Microanalysis,,,,,,6,https://doi.org/10.1017/s1431927617004299,,United States Naval Research Laboratory|University of Tennessee at Knoxville|University of Tennessee at Knoxville,,,,,1431-9276,,,,article,,
Jian Luo|J J Gao|Shuyuan Gou|Y L Li|Hongtao Lin|Xiaoquan Wu|Shouren Qi,,,,FALSE,Study on microstructure and mechanical properties of Ni60Â +Â WC/Ni35/AISI1040 functional surface gradient structure of remanufacturing chute plate for the mining scraper by a low cost high power CO<sub>2</sub> laser cladding technique,"Abstract CO 2 laser cladding is a type of green remanufacturing technology, which is of many technical advantages in repairing and remanufacturing industry, especially for some large-scale key mining equipment or parts due to its characteristics of high quality, high efficiency and environmental protection (e.g. energy and material saving). In this paper, the chute plate of coal mining scraper is fixed and remanufactured by CO 2 laser cladding technique. Ni60, WC, Ni35, IG55 and other composite powders are selected to design and build the gradient functional structure for chute plate in order to improve the reproduced lifetime. A lot of high power low cost CO 2 laser cladding tests are carried out on the matrix material (AISI 1040 steel plate) of old attrite chute plate. The optical microscope, SEM, XRD, microhardness test and wear experiment are adopted to analyze the relationships among the laser cladding process, the overlaying composite material, gradient functional structure and mechanical properties of the remanufacturing scraperâ€™s chute plate. The research results show that laser power and scanning speed are the dominant cladding process parameters, which have a significant influence on the geometric dimension (including width and height), dilution rate and hardness of the deposited layer. These composite powders (especially including the rare earth metals) are the key factor to form the gradient functional structure. The laser cladding Ni60 + WC/Ni35/AISI1040 composite gradient functional structure has a reasonable toughness and strength of the transition layer structure, and a high hardness and wear-resistant surface functional layer, so the fixed and remanufactured product has formed good ductile plasticity and wear resistance properties as a result of the gradient functional structure. The unique Ni60 + WC/Ni35/AISI1040 gradient functional structure makes sure that the chute plate of mining scraper has excellent comprehensive performance, which is satisfied with the service requirements of mechanical parts or equipment in the harsh working environment of the mining industry. This research work provides technological guidance for the fix and remanufacturing chute plate, and achieves the goal of low cost, high efficiency and long life reproduced chute plate of mining scraper.",2020,Materials Research Express,,,,,,6,https://doi.org/10.1088/2053-1591/aba6c2,,,,,,,2053-1591,,,,article,,
Marek Szkodo|Anna BieÅ„|Alicja StanisÅ‚awska,,,,FALSE,Laser Beam as a Precision Tool to Increase Fatigue Resistance in an Eyelet of Undercarriage Drag Strut,"The article contains the results of tests on a laser-processed eyelet of undercarriage drag strut to increase its fatigue strength. Laser processing concentrated on both sides around the hole of eye for connecting the undercarriage drag strut caused that the material in this area withstood more than twice the number of load cycles established for this material. In order to determine the reasons for the increase in fatigue strength, residual stresses in laser-treated LT areas and in the base metal BM located between melted paths were determined, using the nanoindentation test and Williamson Hall method. The modified Williamson Hall analysis of XRD patterns was also used to determine the dislocation density in both areas. The results indicate that high residual tensile stresses occur in melted areas and in base metal located between melted paths occur high residual compressive stresses. A large increase in hardness and elastic properties, dissolution of non-metallic inclusions, as well as large solid solution and sub-grain strengthening contributed to the high fatigue resistance of the melted areas.",2021,International Journal of Precision Engineering and Manufacturing-Green Technology,,,,,,6,https://doi.org/10.1007/s40684-020-00296-2,,GdaÅ„sk University of Technology|University of Warmia and Mazury in Olsztyn|GdaÅ„sk University of Technology,,,,,2198-0810,,,,article,,
Murali Sundaram|Anne Brant|K. P. Rajurkar,,,,FALSE,Electrochemical additive manufacturing of NiCoFeCuMo high entropy alloys using a combined dissolution-deposition system,"Compositionally-graded NiCoFeCuMo high-entropy-alloy parts were fabricated using electrochemical additive manufacturing operated in a combined dissolution-deposition manner. Dynamic solution concentration control and compositional grading were achieved using concurrent dissolution of source metal anodes. A common supporting bath to accommodate dissolution and deposition of all metals was identified by separately studying dissolution processes and selecting ionic influences on deposition. Results from the combined system showed that Ni and Mo contents could be graded the most controllably, followed by Co and Fe, and finally Cu. Output atomic percentages ranged from 3-48%, with some regions meeting the 5-35% definition of a high entropy alloy.",2022,CIRP Annals,,,,,,6,https://doi.org/10.1016/j.cirp.2022.03.009,,University of Cincinnati|University of Cincinnati|University of Nebraskaâ€“Lincoln,,,,,0007-8506,,,,article,,
